dataset,classifier,accuracy,time,threads
IRIS,Python-sklearn-SVM-Linear,0.9933333333333332,0.0026264190673828,
MNIST,Python-sklearn-SVM-Linear,0.98,0.003,
Two_class_20000,Python-sklearn-SVM-Linear,0.991,0.6040835380554199,
IRIS,Serial_SVM,0.985,0.004183,
IRIS,Parallel_OPENMP,0.985,0.176603,4.0
IRIS,Parallel_OPENMP,0.985,0.479955,8.0
IRIS,Parallel_OPENACC,0.985,0.191817,
Two_class_20000,Parallel_OPENMP,0.985,1.893673,8.0
Two_class_20000,Parallel_OPENACC,0.985,6.960664,50.0
Two_class_100000,Parallel_OPENACC,0.985,49.263075,30.0
Two_class_100000,Parallel_OPENACC,0.985,48.21341,50.0
Two_class_100000,Parallel_OPENMP,0.985,10.513116,8.0
Two_class_100000,Python-sklearn-SVM-Linear,0.991,1.7357072830200195,
